Date,Open,High,Low,Close,Adj Close,Volume
2020-01-28,65.110001,65.199997,64.629997,64.650002,63.734993,19664700
2020-01-29,65.029999,65.129997,63.900002,64.110001,63.202637,14202800
2020-01-30,63.779999,64.879997,63.430000,64.790001,63.873013,18544700
2020-01-31,63.200001,63.200001,61.860001,62.119999,61.240799,34282900
2020-02-03,61.380001,61.419998,60.369999,60.730000,59.870472,27397300
2020-02-04,61.450001,61.910000,59.889999,59.970001,59.121231,31922100
2020-02-05,60.750000,62.930000,60.599998,62.730000,61.842167,32099200
2020-02-06,62.930000,63.009998,61.779999,61.880001,61.004200,16055400
2020-02-07,61.410000,61.660000,61.060001,61.470001,60.600002,15112500
2020-02-10,60.480000,60.520000,59.619999,59.959999,59.959999,20934500
2020-02-11,60.580002,60.889999,60.169998,60.529999,60.529999,14908700
2020-02-12,61.340000,61.529999,60.560001,61.270000,61.270000,17862100
2020-02-13,61.060001,61.419998,60.560001,60.930000,60.930000,16949400
2020-02-14,61.150002,61.160000,60.279999,60.650002,60.650002,10855300
2020-02-18,60.150002,60.389999,59.450001,59.880001,59.880001,18948500
2020-02-19,60.110001,60.619999,59.830002,60.340000,60.340000,12804900
2020-02-20,60.230000,60.540001,59.720001,59.860001,59.860001,14817200
2020-02-21,59.509998,59.509998,58.790001,59.130001,59.130001,20315700
2020-02-24,57.619999,57.799999,56.360001,56.360001,56.360001,32096600
2020-02-25,56.750000,56.750000,53.970001,54.200001,54.200001,36414500
2020-02-26,54.549999,54.820000,52.930000,53.009998,53.009998,29801000
2020-02-27,51.709999,52.439999,49.799999,49.820000,49.820000,48141300
2020-02-28,48.770000,51.439999,48.009998,51.439999,51.439999,62468400
2020-03-02,52.590000,53.889999,51.130001,53.880001,53.880001,38127600
2020-03-03,53.950001,54.150002,50.980000,51.299999,51.299999,50580700
2020-03-04,52.230000,52.480000,51.119999,52.419998,52.419998,24079600
2020-03-05,50.419998,50.700001,49.040001,50.110001,50.110001,40788200
2020-03-06,48.840000,49.009998,47.200001,47.689999,47.689999,55640500
2020-03-09,41.709999,44.570000,40.799999,41.860001,41.860001,72896300
2020-03-10,46.169998,46.259998,41.450001,43.410000,43.410000,60445900
2020-03-11,42.389999,43.480000,41.750000,41.980000,41.980000,51986100
2020-03-12,39.900002,40.650002,37.000000,37.180000,37.180000,65725300
2020-03-13,40.009998,40.139999,35.000000,38.119999,38.119999,79891500
2020-03-16,34.400002,37.880001,33.250000,34.490002,34.490002,48924700
2020-03-17,35.209999,37.380001,34.200001,36.810001,36.810001,41204400
2020-03-18,34.549999,36.709999,31.230000,33.119999,33.119999,54036400
2020-03-19,33.730000,34.900002,32.349998,34.430000,34.430000,49412400
2020-03-20,34.840000,35.180000,31.559999,32.740002,32.740002,76534600
2020-03-23,32.529999,32.700001,30.110001,31.450001,31.450001,56952500
2020-03-24,34.419998,36.169998,33.330002,35.439999,35.439999,61835600
2020-03-25,36.509998,38.590000,35.180000,37.290001,37.290001,56607700
2020-03-26,37.500000,39.560001,36.720001,38.820000,38.820000,46722000
2020-03-27,37.130001,37.680000,36.200001,36.950001,36.950001,51558600
2020-03-30,36.230000,38.150002,35.860001,37.500000,37.500000,45835000
2020-03-31,38.340000,39.450001,37.369999,37.970001,37.970001,41491600
2020-04-01,36.860001,38.700001,36.340000,37.529999,37.529999,36045900
2020-04-02,38.740002,41.959999,37.900002,40.400002,40.400002,62000200
2020-04-03,41.450001,42.180000,38.520000,39.209999,39.209999,48425700
2020-04-06,39.880001,40.830002,39.230000,40.470001,40.470001,41301900
2020-04-07,42.900002,43.320000,41.160000,41.240002,41.240002,48921800
2020-04-08,41.950001,44.040001,41.470001,43.849998,43.849998,33355600
2020-04-09,45.459999,46.709999,41.740002,43.130001,43.130001,60208100
2020-04-13,44.450001,44.689999,41.970001,42.759998,42.759998,29651900
2020-04-14,43.000000,43.750000,41.910000,42.430000,42.430000,30751800
